Timestamp,Email Address,1. Age (in January 2025) ,2. Gender,3. Citizenship Status,4. What is your household's monthly income range?  ,5. Number of SPM subjects,6. Grades for each core SPM subjects  [Bahasa Melayu],6. Grades for each core SPM subjects  [Bahasa Inggeris],6. Grades for each core SPM subjects  [Sejarah],6. Grades for each core SPM subjects  [Matematik],"7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Islam]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Moral]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Matematik Tambahan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Fizik]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Kimia]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Biologi]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Prinsip Perakaunan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Ekonomi]",8. PAJSK Score (range: 0.00 – 10.00),"9. Top 5 Co-curricular Highest Achievements

Example:
- Gold Medalist in the International Mathematics Olympiad (IMO) 2023
- President of the Science & Innovation Club, Organized National STEM Fair 2022
- Captain of the State Football Team, Represented Malaysia in ASEAN Youth Championship
(Please continue in this format until you have listed 5 achievements.)","10. What is your CGPA for your pre-university program?
(e.g., Diploma, Foundation, Matrikulasi, or STPM)

Example: 
3.96","11. What is your CGPA for your first semester in degree study? 

Example: 
3.96  ",12. What is your current field of study?,"13. Are you currently receiving a merit-based scholarship (not a loan or PTPTN)?
(e.g., JPA, university excellence scholarship, state foundation scholarships, etc)"
3/27/2025 18:50:38,tamar+musa845@gmail.com,Others,Female,Malaysian,"RM4,851 – RM7,100",10,E,E,A+,C+,B+,B+,E,C,G,C+,D,A-,9.2,national/state awards,3.55,3.84,Economics / Public Policy,Yes
3/27/2025 18:50:38,amnuai.van-den-berg928@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C+,C,A+,B,C+,D,G,G,G,D,C+,B+,7.5,Leadership roles,3.55,3.69,Law / Legal Studies,Yes
3/27/2025 18:50:38,margaretdekker589@gmail.com,22,Female,Malaysian,"RM10,971 – RM15,040",8,B+,A-,E,B,A-,B,B+,A-,D,E,E,E,8.5,Leadership roles,3.75,3.58,Economics / Public Policy,Yes
3/27/2025 18:50:38,anong.cruz570@gmail.com,21,Male,Malaysian,"RM7,101 – RM10,970",10,C,C,B,D,G,C,A+,C+,B,A+,None,G,7,Leadership roles,3.55,3.58,Computer Science & Information Technology,Yes
3/27/2025 18:50:38,anah-hofmann@gmail.com,20,Male,Malaysian,"Above RM15,040",10,A+,B,E,B+,B,C,G,B+,E,None,D,G,9.5,Leadership roles,3.8,3.97,Law / Legal Studies,Yes
3/27/2025 18:50:38,thulani.aliev@gmail.com,22,Female,Malaysian,"RM10,971 – RM15,040",11,D,B+,B+,B+,A+,D,B,C,A+,C+,D,G,8.5,national/state awards,3.55,3.75,Economics / Public Policy,Yes
3/27/2025 18:50:38,yu+hu@gmail.com,20,Male,Malaysian,"RM7,101 – RM10,970",9,C+,B,C,A+,B+,None,B+,B+,B+,D,B+,C,8.7,national/state awards,3.92,3.69,Others,Yes
3/27/2025 18:50:38,shankar_morris778@gmail.com,21,Male,Malaysian,"RM7,101 – RM10,970",9,B,G,G,C,B+,A-,B,D,G,E,B+,G,7.5,national/state awards,3.67,3.58,Science & Mathematics,Yes
3/27/2025 18:50:38,mateusz+nikolaeva@gmail.com,22,Male,Malaysian,"RM10,971 – RM15,040",9,C+,C,C,C+,C+,B+,None,C,B,C+,G,D,9.2,national/state awards,3.75,3.75,Actuarial Science / Statistics,Yes
3/27/2025 18:50:38,chenfu570@gmail.com,23,Male,Malaysian,"RM10,971 – RM15,040",8,A+,B,D,D,D,G,E,D,B+,G,B,D,9.5,Leadership roles,3.55,3.58,Science & Mathematics,Yes
3/27/2025 18:50:38,galina-pfeiffer943@gmail.com,21,Male,Malaysian,"Below RM4,850",10,B,C,B,D,D,G,B,D,B,A-,G,B,8.7,national/state awards,3.8,3.84,Science & Mathematics,Yes
3/27/2025 18:50:38,kabiruherrera3@gmail.com,22,Male,Malaysian,"RM10,971 – RM15,040",9,A-,B,D,A-,G,C+,B,C,B,G,E,E,8.5,national/state awards,3.67,3.58,Actuarial Science / Statistics,Yes
3/27/2025 18:50:38,toshio.starr324@gmail.com,23,Male,Malaysian,"Below RM4,850",9,D,B+,C+,C,B+,E,C,B,D,A-,B+,B,8.7,Leadership roles,3.6,3.97,Computer Science & Information Technology,Yes
3/27/2025 18:50:38,cristina-adebayo@gmail.com,22,Male,Malaysian,"RM10,971 – RM15,040",11,E,B,E,C+,E,B+,B+,C,A-,C+,A-,D,8.5,Leadership roles,3.92,3.84,Science & Mathematics,Yes
3/27/2025 18:50:39,yu-birgisson248@gmail.com,23,Female,Malaysian,"RM7,101 – RM10,970",8,C,E,B+,G,C,A+,G,C,B,A+,C+,C+,7.5,national/state awards,3.8,3.97,Computer Science & Information Technology,Yes
3/27/2025 18:50:39,lucia-vaknin303@gmail.com,23,Male,Malaysian,"RM7,101 – RM10,970",9,B+,B,B,A+,None,C,A-,G,C,D,C,B,8.7,Leadership roles,3.6,3.58,Computer Science & Information Technology,Yes
3/27/2025 18:50:39,uweroy514@gmail.com,20,Male,Malaysian,"Below RM4,850",11,A-,E,B,B+,E,None,B+,D,B+,C+,B+,C,9.2,national/state awards,3.67,3.58,Accounting,Yes
3/27/2025 18:50:49,winai.hayashi@gmail.com,22,Male,Malaysian,"RM4,851 – RM7,100",9,G,D,B,E,B+,A-,E,None,C,D,G,A-,8.5,Leadership roles,3.67,3.69,"Business, Management & Finance",Yes
3/27/2025 18:50:49,samfernandez@gmail.com,23,Male,Malaysian,"RM10,971 – RM15,040",9,A-,D,B+,B+,B+,A+,A-,E,C,G,D,B,8.5,Leadership roles,3.55,3.75,Science & Mathematics,Yes
3/27/2025 18:50:49,aleksandrachmielewski@gmail.com,22,Male,Malaysian,"RM7,101 – RM10,970",10,D,D,A-,E,E,A-,B,C,None,G,C,D,9.2,national/state awards,3.92,4,Computer Science & Information Technology,Yes
3/27/2025 18:50:49,alexomar528@gmail.com,21,Female,Malaysian,"RM10,971 – RM15,040",10,B+,B,C,C,B,C,C,B+,A+,D,A+,C+,7.5,national/state awards,3.8,3.75,Science & Mathematics,Yes
3/27/2025 18:50:49,adam.dlamini596@gmail.com,20,Female,Malaysian,"RM10,971 – RM15,040",9,B+,A-,E,E,A-,A+,D,B,A-,E,B+,A-,8.5,national/state awards,3.92,3.58,Economics / Public Policy,Yes
3/27/2025 18:50:49,mary.schmidt@gmail.com,21,Male,Malaysian,"Above RM15,040",10,B+,A-,C+,G,E,None,E,A-,D,C+,B,G,7.5,Leadership roles,3.8,3.97,"Business, Management & Finance",Yes
3/27/2025 18:50:49,peng-van-dijk681@gmail.com,20,Male,Malaysian,"RM10,971 – RM15,040",10,B,B,B,C,E,A+,B+,D,A-,C+,B,D,9.2,national/state awards,3.75,3.58,Computer Science & Information Technology,Yes
3/27/2025 18:50:49,ekaterina-rogers613@gmail.com,22,Female,Malaysian,"RM4,851 – RM7,100",11,C+,B,A+,B,D,A+,B+,E,E,C,C,A-,8.5,Leadership roles,3.8,4,Economics / Public Policy,Yes
3/27/2025 18:50:49,caroline-ivanov577@gmail.com,20,Female,Malaysian,"RM10,971 – RM15,040",9,G,A+,B,E,C,C,A-,G,B+,C+,C,B+,8.5,national/state awards,3.75,3.97,Accounting,Yes
3/27/2025 18:50:49,shankar-takahashi@gmail.com,22,Female,Malaysian,"RM4,851 – RM7,100",11,B,C+,C,B+,E,A-,E,C,D,G,D,A+,8.5,Leadership roles,3.75,3.84,Engineering,Yes
3/27/2025 18:50:49,liljasanchez@gmail.com,21,Male,Malaysian,"RM4,851 – RM7,100",8,E,D,C,B,C+,C+,B+,G,E,E,C+,G,8.5,national/state awards,3.8,4,Law / Legal Studies,Yes
3/27/2025 18:50:49,nobuko_meijer172@gmail.com,23,Male,Malaysian,"Above RM15,040",9,D,B+,B,C+,None,G,B+,None,B,C,B,C,9.5,Leadership roles,3.92,4,Science & Mathematics,Yes
3/27/2025 18:50:49,yoshimi+bowen13@gmail.com,23,Female,Malaysian,"RM10,971 – RM15,040",10,C+,C,A-,B+,C,E,A-,E,A+,B+,C+,None,7,Leadership roles,3.55,3.97,Science & Mathematics,Yes
3/27/2025 18:50:49,somnuek+ochieng@gmail.com,Others,Female,Malaysian,"RM4,851 – RM7,100",9,B,G,B+,B+,D,D,C+,None,E,B,A+,A-,7.5,national/state awards,3.6,3.69,Computer Science & Information Technology,Yes
3/27/2025 18:50:49,minmaluleke@gmail.com,23,Male,Malaysian,"RM10,971 – RM15,040",11,D,C,A+,A-,A+,B+,A+,E,C,E,C+,A-,8.7,Leadership roles,3.8,3.84,Accounting,Yes
3/27/2025 18:50:49,zhen.zakharova@gmail.com,23,Female,Malaysian,"RM10,971 – RM15,040",9,B+,A-,C,C,A-,None,B+,B+,C,G,C+,A-,8.5,Leadership roles,3.92,3.69,Law / Legal Studies,Yes
3/27/2025 18:50:49,rajesh.mohamed858@gmail.com,21,Female,Malaysian,"RM4,851 – RM7,100",11,A-,A+,C,C,A+,C,D,D,B,A-,C,A-,8.7,Leadership roles,3.92,3.75,Actuarial Science / Statistics,Yes
3/27/2025 18:50:49,susanne.clarke@gmail.com,22,Male,Malaysian,"Above RM15,040",11,C+,C,B+,D,D,None,E,E,D,E,A-,C+,7.5,national/state awards,3.67,4,Accounting,Yes
3/27/2025 18:50:49,hassan+arai630@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C,C+,B+,E,A-,A-,E,B+,None,D,C,A-,9.2,Leadership roles,3.6,3.69,Law / Legal Studies,Yes
3/27/2025 18:50:49,aleksander.bjarnason@gmail.com,20,Female,Malaysian,"RM10,971 – RM15,040",9,C+,E,D,B,C,A-,C+,D,C+,C+,None,B+,8.5,Leadership roles,3.55,3.75,Accounting,Yes
3/27/2025 18:50:49,james+adri@gmail.com,22,Male,Malaysian,"Above RM15,040",8,D,B+,C,A+,C,B+,C,None,A+,A-,B+,A-,7,Leadership roles,3.6,3.84,"Business, Management & Finance",Yes
3/27/2025 18:50:49,leah-sasaki798@gmail.com,23,Male,Malaysian,"RM10,971 – RM15,040",9,D,C,B+,D,None,E,C+,None,C+,G,C+,B+,8.7,Leadership roles,3.75,3.84,"Business, Management & Finance",Yes
3/27/2025 18:50:49,jamesfeldman@gmail.com,20,Female,Malaysian,"RM7,101 – RM10,970",11,A+,D,G,G,B,C+,C+,G,A+,A-,A-,C+,8.5,Leadership roles,3.75,3.97,Science & Mathematics,Yes
3/27/2025 18:50:53,zhiqiangfrolova@gmail.com,23,Female,Malaysian,"Above RM15,040",10,C+,A+,A+,G,C,A+,C,A+,A-,C,A+,A-,8.7,Leadership roles,3.8,3.75,Engineering,Yes
3/27/2025 18:50:53,alekseyrubio373@gmail.com,20,Male,Malaysian,"RM4,851 – RM7,100",11,D,A+,A-,B+,A+,D,A+,E,D,A-,A+,D,8.5,Leadership roles,3.92,3.69,Others,Yes
3/27/2025 18:50:53,sunilmorgan835@gmail.com,21,Female,Malaysian,"RM7,101 – RM10,970",8,C,D,B,A-,D,G,None,C,C,G,D,C+,7.5,national/state awards,3.75,3.69,Science & Mathematics,Yes
3/27/2025 18:50:53,nikolaypeng340@gmail.com,20,Male,Malaysian,"RM7,101 – RM10,970",9,E,B,C+,A+,B,E,C,A+,A+,E,C,C,7.5,national/state awards,3.55,3.58,Economics / Public Policy,Yes
3/27/2025 18:50:53,masami.simiyu@gmail.com,20,Male,Malaysian,"RM10,971 – RM15,040",10,C+,D,C,C+,A+,G,C,B,C,B+,A-,C,7.5,Leadership roles,3.92,3.97,"Business, Management & Finance",Yes
3/27/2025 18:50:53,yosef_zwane@gmail.com,21,Female,Malaysian,"RM7,101 – RM10,970",11,B+,E,C,A+,None,B,B,B+,C,None,D,None,8.5,Leadership roles,3.8,3.69,Accounting,Yes
3/27/2025 18:50:53,zhen_meijer@gmail.com,23,Male,Malaysian,"RM10,971 – RM15,040",8,E,A-,B,C+,C+,A+,C+,C,D,G,D,None,7,national/state awards,3.75,3.58,"Business, Management & Finance",Yes
3/27/2025 18:50:53,kenji+xiao@gmail.com,23,Female,Malaysian,"RM7,101 – RM10,970",8,B+,C+,B+,B+,B+,C,C+,E,B,None,C+,D,8.7,national/state awards,3.92,3.69,Actuarial Science / Statistics,Yes
3/27/2025 18:50:53,xiang-mokoena180@gmail.com,22,Male,Malaysian,"RM4,851 – RM7,100",10,A-,C,C+,C+,C,D,B,D,A-,None,C,A+,8.7,national/state awards,3.75,3.69,Law / Legal Studies,Yes
3/27/2025 18:50:53,erla_ndlovu@gmail.com,23,Male,Malaysian,"RM4,851 – RM7,100",9,B+,C+,C,C+,A-,None,G,D,None,B+,E,A-,9.5,Leadership roles,3.8,3.58,Economics / Public Policy,Yes
3/27/2025 18:50:53,ewa_sah@gmail.com,20,Male,Malaysian,"RM7,101 – RM10,970",9,B+,A-,B+,A-,C,C+,E,E,D,B,C+,C,9.2,Leadership roles,3.8,3.97,"Business, Management & Finance",Yes
3/27/2025 18:50:53,edda-suarez@gmail.com,21,Male,Malaysian,"RM10,971 – RM15,040",8,B,C+,A-,C,B+,G,B,C,C+,B+,C+,G,9.2,national/state awards,3.75,3.58,Computer Science & Information Technology,Yes
3/27/2025 18:50:53,yoshimi+janssen551@gmail.com,Others,Male,Malaysian,"RM10,971 – RM15,040",8,A-,D,C+,D,B+,G,G,D,C+,E,D,D,7,national/state awards,3.92,3.58,Economics / Public Policy,Yes
3/27/2025 18:52:45,kenneth_hayashi@gmail.com,23,Female,Non-Malaysian,"RM10,971 – RM15,040",10,A-,A-,D,C+,A-,D,B,G,A-,B,A-,E,9.2,Leadership roles,3.75,3.75,Accounting,No
3/27/2025 18:52:45,hui_wieczorek672@gmail.com,20,Male,Malaysian,"RM7,101 – RM10,970",8,B+,E,C+,C,B+,G,G,G,B+,C,D,A+,9.5,national/state awards,3.67,3.75,Economics / Public Policy,No
3/27/2025 18:52:45,ann-diaz@gmail.com,22,Male,Malaysian,"RM7,101 – RM10,970",9,D,C+,C,C+,G,D,C,G,B,B+,C+,A-,8.5,Leadership roles,3.92,3.69,Law / Legal Studies,No
3/27/2025 18:52:45,mohammed+saeueng798@gmail.com,20,Female,Non-Malaysian,"RM4,851 – RM7,100",11,B,B+,C+,A-,A-,G,G,G,D,A+,D,B,8.7,Leadership roles,3.75,3.58,Actuarial Science / Statistics,No
3/27/2025 18:52:45,noriko+zalewski@gmail.com,23,Male,Non-Malaysian,"RM4,851 – RM7,100",9,C,E,E,C+,A-,D,G,E,C,B,E,D,8.5,Leadership roles,3.92,3.58,"Business, Management & Finance",No
3/27/2025 18:52:45,ning+kimani@gmail.com,21,Female,Malaysian,"RM7,101 – RM10,970",9,B,B+,A-,B,B+,G,A+,C+,E,A-,G,B,9.2,national/state awards,3.75,3.58,"Business, Management & Finance",Yes
3/27/2025 18:52:45,miguel-huisman@gmail.com,21,Female,Malaysian,"RM4,851 – RM7,100",9,C,D,B,C+,E,A-,B,C+,B,B+,D,A-,9.2,national/state awards,3.6,3.84,Science & Mathematics,Yes
3/27/2025 18:52:46,zhen+zawadzki395@gmail.com,23,Male,Malaysian,"RM4,851 – RM7,100",9,E,D,C,B+,E,B+,E,D,A-,B+,C,E,8.7,Leadership roles,3.75,3.97,Actuarial Science / Statistics,Yes
3/27/2025 18:52:46,pavel+kimura379@gmail.com,23,Female,Malaysian,"RM7,101 – RM10,970",10,B+,A+,A+,A-,C+,C,A+,C,A-,C,C,G,8.7,Leadership roles,3.8,3.69,Law / Legal Studies,Yes
3/27/2025 18:52:46,pablo+mazibuko971@gmail.com,21,Male,Non-Malaysian,"Below RM4,850",10,B,E,B,D,A-,D,A-,C+,C+,E,C,D,8.7,national/state awards,3.92,3.69,Economics / Public Policy,No
3/27/2025 18:52:46,jakub_maas@gmail.com,21,Male,Non-Malaysian,"RM10,971 – RM15,040",9,G,E,G,E,G,C,C,A-,G,E,G,C,8.7,national/state awards,3.8,3.69,Computer Science & Information Technology,Yes
3/27/2025 18:52:46,takako-sanchez917@gmail.com,21,Male,Malaysian,"RM10,971 – RM15,040",8,C+,C,A-,D,B+,E,B+,B+,B,C,B,B+,8.5,Leadership roles,3.55,3.75,Law / Legal Studies,Yes
3/27/2025 18:52:46,magda-smee@gmail.com,21,Female,Malaysian,"RM4,851 – RM7,100",9,B,C+,C+,B,E,C+,A-,A+,B+,None,E,E,8.5,Leadership roles,3.75,3.58,Law / Legal Studies,No
3/27/2025 18:52:46,narongwairimu@gmail.com,22,Female,Malaysian,"Above RM15,040",8,C+,G,G,C,C+,G,B,B,None,G,G,B+,9.2,Leadership roles,3.67,3.97,Computer Science & Information Technology,Yes
3/27/2025 18:52:46,kristinn+johnson355@gmail.com,20,Male,Non-Malaysian,"RM7,101 – RM10,970",11,G,E,C+,C,G,G,C,D,B,D,A-,E,8.7,Leadership roles,3.75,3.58,Economics / Public Policy,Yes
3/27/2025 18:52:46,hildur.ohana492@gmail.com,22,Male,Non-Malaysian,"RM7,101 – RM10,970",11,G,B,B,A+,G,None,G,G,B+,A+,A+,C,9.5,national/state awards,3.75,3.84,Actuarial Science / Statistics,No
3/27/2025 18:52:46,hendrik_cheruiyot720@gmail.com,21,Female,Non-Malaysian,"RM4,851 – RM7,100",11,D,B+,B,A+,D,A-,D,G,A-,E,D,E,7.5,national/state awards,3.55,3.58,Computer Science & Information Technology,No
3/27/2025 18:52:46,dmitry_bunmi451@gmail.com,23,Male,Malaysian,"Below RM4,850",9,C,D,E,C+,D,C,B,D,G,B,A-,None,9.5,national/state awards,3.55,3.97,Science & Mathematics,No
3/27/2025 18:52:46,barbara-kuipers864@gmail.com,22,Female,Malaysian,"Above RM15,040",11,A-,E,E,B+,B+,C+,C,B+,B,C,A-,G,9.5,Leadership roles,3.8,3.97,Actuarial Science / Statistics,Yes
3/27/2025 18:52:46,paula_paswan@gmail.com,21,Male,Non-Malaysian,"RM10,971 – RM15,040",9,B+,C+,B,B,D,A-,C,B,C,C,None,C+,8.7,national/state awards,3.92,3.58,Accounting,Yes
3/27/2025 18:52:47,alan+biswas@gmail.com,23,Male,Malaysian,"RM4,851 – RM7,100",10,B,E,A+,B,D,C+,A-,G,B+,B,B,B+,7.5,Leadership roles,3.92,3.75,Economics / Public Policy,Yes
3/27/2025 18:52:47,abubakar_davis@gmail.com,23,Female,Non-Malaysian,"Below RM4,850",10,C+,C+,D,B+,B+,A+,B+,None,G,G,C+,G,9.2,national/state awards,3.92,3.97,Law / Legal Studies,No
3/27/2025 18:52:47,takeshi-lim883@gmail.com,23,Female,Non-Malaysian,"RM7,101 – RM10,970",8,C,B,A-,B+,B+,E,C+,D,B+,D,D,B,7.5,Leadership roles,3.8,3.84,Accounting,No
3/27/2025 18:52:47,yue-kobayashi@gmail.com,23,Female,Malaysian,"Above RM15,040",10,B,E,B,C,B,E,B,A-,C,A+,E,B,8.5,national/state awards,3.55,3.84,"Business, Management & Finance",No
3/27/2025 18:52:47,amnuai-yamashita@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C+,E,B+,G,C,C,G,A+,B,E,B+,A+,8.7,national/state awards,3.6,3.84,Computer Science & Information Technology,Yes
3/27/2025 18:52:47,franciscawood@gmail.com,21,Male,Malaysian,"RM7,101 – RM10,970",11,A+,E,C+,B,G,B,A+,A-,D,E,D,C+,7.5,Leadership roles,3.8,3.69,"Business, Management & Finance",Yes
3/27/2025 18:52:47,eunice-yamazaki626@gmail.com,21,Female,Malaysian,"RM4,851 – RM7,100",9,G,D,A-,A-,B+,E,C,A-,C,A+,D,D,8.5,Leadership roles,3.92,3.97,Science & Mathematics,No
3/27/2025 18:52:47,nittaya-friedman@gmail.com,21,Male,Malaysian,"RM7,101 – RM10,970",8,B+,C+,B,B,D,B,C+,C,None,C+,B,B+,9.5,national/state awards,3.8,3.84,Accounting,Yes
3/27/2025 18:52:47,ana.takeuchi73@gmail.com,23,Male,Malaysian,"RM4,851 – RM7,100",8,B,E,A-,C,C+,B,B+,C+,E,C+,D,B,9.2,national/state awards,3.75,4,Others,No
3/27/2025 18:52:47,lakshmi_smit@gmail.com,23,Male,Non-Malaysian,"RM7,101 – RM10,970",8,D,A-,B,E,A-,E,C+,E,G,A-,B,D,9.5,national/state awards,3.55,3.97,Law / Legal Studies,No
3/27/2025 18:52:47,sumansahu173@gmail.com,23,Male,Malaysian,"Above RM15,040",9,B,B,E,E,G,A-,A-,B+,C+,B,D,C+,7,national/state awards,3.75,3.58,Actuarial Science / Statistics,No
3/27/2025 18:52:47,ngozi-njuguna@gmail.com,21,Female,Malaysian,"RM4,851 – RM7,100",9,B,B+,A+,C+,E,A+,C+,B+,G,None,D,A-,7.5,national/state awards,3.8,3.69,Law / Legal Studies,No
3/27/2025 18:52:47,brian_okoth346@gmail.com,21,Female,Non-Malaysian,"RM7,101 – RM10,970",10,D,E,E,A+,G,C+,G,C+,None,B+,C+,C,8.7,national/state awards,3.8,3.69,Actuarial Science / Statistics,Yes
3/27/2025 18:52:48,blessingrumbelow@gmail.com,22,Male,Malaysian,"Below RM4,850",10,B,C+,B+,C,A-,D,D,A-,None,C,C+,C,9.5,national/state awards,3.92,3.84,Computer Science & Information Technology,No
3/27/2025 18:52:48,francis.cruz971@gmail.com,Others,Female,Malaysian,"RM4,851 – RM7,100",9,C+,A-,B+,A-,C,A+,G,G,A-,B,D,E,8.5,national/state awards,3.6,4,Actuarial Science / Statistics,No
3/27/2025 18:52:48,nan.ahmed676@gmail.com,23,Female,Non-Malaysian,"RM4,851 – RM7,100",10,D,B,B+,B,E,B,None,None,C,G,B+,A+,8.5,Leadership roles,3.92,3.84,Economics / Public Policy,No
3/27/2025 18:52:48,musa.takahashi996@gmail.com,21,Female,Malaysian,"RM10,971 – RM15,040",9,B+,A-,D,A-,None,C,A-,G,C+,D,None,D,8.5,national/state awards,3.6,3.97,Science & Mathematics,Yes
3/27/2025 18:52:48,peng.yamazaki@gmail.com,22,Female,Malaysian,"RM4,851 – RM7,100",9,C+,B,A-,A-,C+,A-,A+,C+,B,E,B+,A+,8.7,national/state awards,3.92,3.69,Computer Science & Information Technology,No
3/27/2025 18:52:48,somnuek.feldman@gmail.com,21,Male,Malaysian,"RM7,101 – RM10,970",10,A+,E,A-,A-,G,B+,A-,B+,D,E,B,D,8.7,national/state awards,3.67,3.84,Computer Science & Information Technology,Yes
3/27/2025 18:52:48,bernd_buthelezi@gmail.com,21,Male,Malaysian,"Below RM4,850",10,E,E,G,A-,E,B,B+,G,G,A-,B+,E,7.5,Leadership roles,3.55,3.69,Actuarial Science / Statistics,Yes
3/27/2025 18:52:48,yan.mhamid@gmail.com,21,Male,Malaysian,"RM10,971 – RM15,040",10,B,D,C,C+,None,B+,B+,G,E,D,G,D,8.5,Leadership roles,3.67,3.84,Computer Science & Information Technology,No
3/27/2025 18:52:48,thabo.owino517@gmail.com,22,Female,Malaysian,"RM4,851 – RM7,100",10,C+,E,D,C+,G,B,C+,B,None,B+,E,B,8.7,national/state awards,3.75,3.69,Accounting,Yes
3/27/2025 18:52:48,yoko-yu@gmail.com,Others,Female,Non-Malaysian,"RM4,851 – RM7,100",8,C,C+,B+,B+,C+,B+,A+,G,A+,A+,A-,A+,8.5,national/state awards,3.67,3.75,Computer Science & Information Technology,No
3/27/2025 18:52:48,sri_maina347@gmail.com,22,Female,Non-Malaysian,"RM10,971 – RM15,040",10,B,C,C,B,None,C,B+,E,A-,B,G,D,8.7,national/state awards,3.8,3.58,Computer Science & Information Technology,Yes
