Timestamp,Username,1. Age (in January 2025) ,2. Gender,3. Citizenship Status,4. What is your household's monthly income range?  ,5. Number of SPM subjects,6. Grades for each core SPM subjects  [Bahasa Melayu],6. Grades for each core SPM subjects  [Bahasa Inggeris],6. Grades for each core SPM subjects  [Sejarah],6. Grades for each core SPM subjects  [Matematik],"7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Islam]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Moral]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Matematik Tambahan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Fizik]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Kimia]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Biologi]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Prinsip Perakaunan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Ekonomi]",8. PAJSK Score (range: 0.00 – 10.00),"9. Top 5 Co-curricular Highest Achievements

Example:
- Gold Medalist in the International Mathematics Olympiad (IMO) 2023
- President of the Science & Innovation Club, Organized National STEM Fair 2022
- Captain of the State Football Team, Represented Malaysia in ASEAN Youth Championship
(Please continue in this format until you have listed 5 achievements.)","10. What is your CGPA for your pre-university program?
(e.g., Diploma, Foundation, Matrikulasi, or STPM)

Example: 
3.96","11. What is your CGPA for your first semester in degree study? 

Example: 
3.96  ",12. What is your current field of study?,"13. Are you currently receiving a merit-based scholarship (not a loan or PTPTN)?
(e.g., JPA, university excellence scholarship, state foundation scholarships, etc)"
2025/03/27 6:50:37 PM GMT+8,tamar+musa845@gmail.com,Others,Female,Malaysian,"RM4,851 - RM7,100",10,E,E,A+ / A,C+,B+,B+,E,C,G,C+,D,A-,6.2,national/state awards,3.55,3.84,Economics / Public Policy,Yes
2025/03/27 6:50:37 PM GMT+8,amnuai.van-den-berg928@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C+,C,A+ / A,B,C+,D,G,G,G,D,C+,B+,7.5,Leadership roles,3.55,3.69,Law / Legal Studies,Yes
2025/03/27 6:50:37 PM GMT+8,margaretdekker589@gmail.com,22,Female,Malaysian,"RM10,971 - RM15,040",8,B+,A-,E,B,A-,B,B+,A-,D,E,E,E,8.5,Leadership roles,3.75,3.58,Economics / Public Policy,Yes
2025/03/27 6:50:37 PM GMT+8,anong.cruz570@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",10,C,C,B,D,G,C,A+ / A,C+,B,A+ / A,None,G,7,Leadership roles,3.55,3.58,Computer Science & Information Technology,Yes
2025/03/27 6:50:37 PM GMT+8,anah-hofmann@gmail.com,20,Male,Malaysian,"Above RM15,040",10,A+ / A,B,E,B+,B,C,G,B+,E,None,D,G,6.5,Leadership roles,3.8,3.97,Law / Legal Studies,Yes
2025/03/27 6:50:37 PM GMT+8,thulani.aliev@gmail.com,22,Female,Malaysian,"RM10,971 - RM15,040",11,D,B+,B+,B+,A+ / A,D,B,C,A+ / A,C+,D,G,8.5,national/state awards,3.55,3.75,Economics / Public Policy,Yes
2025/03/27 6:50:37 PM GMT+8,yu+hu@gmail.com,20,Male,Malaysian,"RM7,101 - RM10,970",9,C+,B,C,A+ / A,B+,None,B+,B+,B+,D,B+,C,8.7,national/state awards,3.92,3.69,Others,Yes
2025/03/27 6:50:37 PM GMT+8,shankar_morris778@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",9,B,G,G,C,B+,A-,B,D,G,E,B+,G,7.5,national/state awards,3.67,3.58,Science & Mathematics,Yes
2025/03/27 6:50:37 PM GMT+8,mateusz+nikolaeva@gmail.com,22,Male,Malaysian,"RM10,971 - RM15,040",9,C+,C,C,C+,C+,B+,None,C,B,C+,G,D,6.2,national/state awards,3.75,3.75,Actuarial Science / Statistics,Yes
2025/03/27 6:50:38 PM GMT+8,chenfu570@gmail.com,23,Male,Malaysian,"RM10,971 - RM15,040",8,A+ / A,B,D,D,D,G,E,D,B+,G,B,D,6.5,Leadership roles,3.55,3.58,Science & Mathematics,Yes
2025/03/27 6:50:38 PM GMT+8,galina-pfeiffer943@gmail.com,21,Male,Malaysian,"Below RM4,850",10,B,C,B,D,D,G,B,D,B,A-,G,B,8.7,national/state awards,3.8,3.84,Science & Mathematics,Yes
2025/03/27 6:50:38 PM GMT+8,kabiruherrera3@gmail.com,22,Male,Malaysian,"RM10,971 - RM15,040",9,A-,B,D,A-,G,C+,B,C,B,G,E,E,8.5,national/state awards,3.67,3.58,Actuarial Science / Statistics,Yes
2025/03/27 6:50:38 PM GMT+8,toshio.starr324@gmail.com,23,Male,Malaysian,"Below RM4,850",9,D,B+,C+,C,B+,E,C,B,D,A-,B+,B,8.7,Leadership roles,3.6,3.97,Computer Science & Information Technology,Yes
2025/03/27 6:50:38 PM GMT+8,cristina-adebayo@gmail.com,22,Male,Malaysian,"RM10,971 - RM15,040",11,E,B,E,C+,E,B+,B+,C,A-,C+,A-,D,8.5,Leadership roles,3.92,3.84,Science & Mathematics,Yes
2025/03/27 6:50:38 PM GMT+8,yu-birgisson248@gmail.com,23,Female,Malaysian,"RM7,101 - RM10,970",8,C,E,B+,G,C,A+ / A,G,C,B,A+ / A,C+,C+,7.5,national/state awards,3.8,3.97,Computer Science & Information Technology,Yes
2025/03/27 6:50:38 PM GMT+8,lucia-vaknin303@gmail.com,23,Male,Malaysian,"RM7,101 - RM10,970",9,B+,B,B,A+ / A,None,C,A-,G,C,D,C,B,8.7,Leadership roles,3.6,3.58,Computer Science & Information Technology,Yes
2025/03/27 6:50:39 PM GMT+8,uweroy514@gmail.com,20,Male,Malaysian,"Below RM4,850",11,A-,E,B,B+,E,None,B+,D,B+,C+,B+,C,6.2,national/state awards,3.67,3.58,Accounting,Yes
2025/03/27 6:50:48 PM GMT+8,winai.hayashi@gmail.com,22,Male,Malaysian,"RM4,851 - RM7,100",9,G,D,B,E,B+,A-,E,None,C,D,G,A-,8.5,Leadership roles,3.67,3.69,"Business, Management & Finance",Yes
2025/03/27 6:50:48 PM GMT+8,samfernandez@gmail.com,23,Male,Malaysian,"RM10,971 - RM15,040",9,A-,D,B+,B+,B+,A+ / A,A-,E,C,G,D,B,8.5,Leadership roles,3.55,3.75,Science & Mathematics,Yes
2025/03/27 6:50:48 PM GMT+8,aleksandrachmielewski@gmail.com,22,Male,Malaysian,"RM7,101 - RM10,970",10,D,D,A-,E,E,A-,B,C,None,G,C,D,6.2,national/state awards,3.92,4,Computer Science & Information Technology,Yes
2025/03/27 6:50:48 PM GMT+8,alexomar528@gmail.com,21,Female,Malaysian,"RM10,971 - RM15,040",10,B+,B,C,C,B,C,C,B+,A+ / A,D,A+ / A,C+,7.5,national/state awards,3.8,3.75,Science & Mathematics,Yes
2025/03/27 6:50:48 PM GMT+8,adam.dlamini596@gmail.com,20,Female,Malaysian,"RM10,971 - RM15,040",9,B+,A-,E,E,A-,A+ / A,D,B,A-,E,B+,A-,8.5,national/state awards,3.92,3.58,Economics / Public Policy,Yes
2025/03/27 6:50:48 PM GMT+8,mary.schmidt@gmail.com,21,Male,Malaysian,"Above RM15,040",10,B+,A-,C+,G,E,None,E,A-,D,C+,B,G,7.5,Leadership roles,3.8,3.97,"Business, Management & Finance",Yes
2025/03/27 6:50:48 PM GMT+8,peng-van-dijk681@gmail.com,20,Male,Malaysian,"RM10,971 - RM15,040",10,B,B,B,C,E,A+ / A,B+,D,A-,C+,B,D,6.2,national/state awards,3.75,3.58,Computer Science & Information Technology,Yes
2025/03/27 6:50:48 PM GMT+8,ekaterina-rogers613@gmail.com,22,Female,Malaysian,"RM4,851 - RM7,100",11,C+,B,A+ / A,B,D,A+ / A,B+,E,E,C,C,A-,8.5,Leadership roles,3.8,4,Economics / Public Policy,Yes
2025/03/27 6:50:48 PM GMT+8,caroline-ivanov577@gmail.com,20,Female,Malaysian,"RM10,971 - RM15,040",9,G,A+ / A,B,E,C,C,A-,G,B+,C+,C,B+,8.5,national/state awards,3.75,3.97,Accounting,Yes
2025/03/27 6:50:48 PM GMT+8,shankar-takahashi@gmail.com,22,Female,Malaysian,"RM4,851 - RM7,100",11,B,C+,C,B+,E,A-,E,C,D,G,D,A+ / A,8.5,Leadership roles,3.75,3.84,Engineering,Yes
2025/03/27 6:50:48 PM GMT+8,liljasanchez@gmail.com,21,Male,Malaysian,"RM4,851 - RM7,100",8,E,D,C,B,C+,C+,B+,G,E,E,C+,G,8.5,national/state awards,3.8,4,Law / Legal Studies,Yes
2025/03/27 6:50:48 PM GMT+8,nobuko_meijer172@gmail.com,23,Male,Malaysian,"Above RM15,040",9,D,B+,B,C+,None,G,B+,None,B,C,B,C,6.5,Leadership roles,3.92,4,Science & Mathematics,Yes
2025/03/27 6:50:48 PM GMT+8,yoshimi+bowen13@gmail.com,23,Female,Malaysian,"RM10,971 - RM15,040",10,C+,C,A-,B+,C,E,A-,E,A+ / A,B+,C+,None,7,Leadership roles,3.55,3.97,Science & Mathematics,Yes
2025/03/27 6:50:48 PM GMT+8,somnuek+ochieng@gmail.com,Others,Female,Malaysian,"RM4,851 - RM7,100",9,B,G,B+,B+,D,D,C+,None,E,B,A+ / A,A-,7.5,national/state awards,3.6,3.69,Computer Science & Information Technology,Yes
2025/03/27 6:50:48 PM GMT+8,minmaluleke@gmail.com,23,Male,Malaysian,"RM10,971 - RM15,040",11,D,C,A+ / A,A-,A+ / A,B+,A+ / A,E,C,E,C+,A-,8.7,Leadership roles,3.8,3.84,Accounting,Yes
2025/03/27 6:50:48 PM GMT+8,zhen.zakharova@gmail.com,23,Female,Malaysian,"RM10,971 - RM15,040",9,B+,A-,C,C,A-,None,B+,B+,C,G,C+,A-,8.5,Leadership roles,3.92,3.69,Law / Legal Studies,Yes
2025/03/27 6:50:48 PM GMT+8,rajesh.mohamed858@gmail.com,21,Female,Malaysian,"RM4,851 - RM7,100",11,A-,A+ / A,C,C,A+ / A,C,D,D,B,A-,C,A-,8.7,Leadership roles,3.92,3.75,Actuarial Science / Statistics,Yes
2025/03/27 6:50:48 PM GMT+8,susanne.clarke@gmail.com,22,Male,Malaysian,"Above RM15,040",11,C+,C,B+,D,D,None,E,E,D,E,A-,C+,7.5,national/state awards,3.67,4,Accounting,Yes
2025/03/27 6:50:48 PM GMT+8,hassan+arai630@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C,C+,B+,E,A-,A-,E,B+,None,D,C,A-,6.2,Leadership roles,3.6,3.69,Law / Legal Studies,Yes
2025/03/27 6:50:48 PM GMT+8,aleksander.bjarnason@gmail.com,20,Female,Malaysian,"RM10,971 - RM15,040",9,C+,E,D,B,C,A-,C+,D,C+,C+,None,B+,8.5,Leadership roles,3.55,3.75,Accounting,Yes
2025/03/27 6:50:48 PM GMT+8,james+adri@gmail.com,22,Male,Malaysian,"Above RM15,040",8,D,B+,C,A+ / A,C,B+,C,None,A+ / A,A-,B+,A-,7,Leadership roles,3.6,3.84,"Business, Management & Finance",Yes
2025/03/27 6:50:48 PM GMT+8,leah-sasaki798@gmail.com,23,Male,Malaysian,"RM10,971 - RM15,040",9,D,C,B+,D,None,E,C+,None,C+,G,C+,B+,8.7,Leadership roles,3.75,3.84,"Business, Management & Finance",Yes
2025/03/27 6:50:48 PM GMT+8,jamesfeldman@gmail.com,20,Female,Malaysian,"RM7,101 - RM10,970",11,A+ / A,D,G,G,B,C+,C+,G,A+ / A,A-,A-,C+,8.5,Leadership roles,3.75,3.97,Science & Mathematics,Yes
2025/03/27 6:50:53 PM GMT+8,zhiqiangfrolova@gmail.com,23,Female,Malaysian,"Above RM15,040",10,C+,A+ / A,A+ / A,G,C,A+ / A,C,A+ / A,A-,C,A+ / A,A-,8.7,Leadership roles,3.8,3.75,Engineering,Yes
2025/03/27 6:50:53 PM GMT+8,alekseyrubio373@gmail.com,20,Male,Malaysian,"RM4,851 - RM7,100",11,D,A+ / A,A-,B+,A+ / A,D,A+ / A,E,D,A-,A+ / A,D,8.5,Leadership roles,3.92,3.69,Others,Yes
2025/03/27 6:50:53 PM GMT+8,sunilmorgan835@gmail.com,21,Female,Malaysian,"RM7,101 - RM10,970",8,C,D,B,A-,D,G,None,C,C,G,D,C+,7.5,national/state awards,3.75,3.69,Science & Mathematics,Yes
2025/03/27 6:50:53 PM GMT+8,nikolaypeng340@gmail.com,20,Male,Malaysian,"RM7,101 - RM10,970",9,E,B,C+,A+ / A,B,E,C,A+ / A,A+ / A,E,C,C,7.5,national/state awards,3.55,3.58,Economics / Public Policy,Yes
2025/03/27 6:50:53 PM GMT+8,masami.simiyu@gmail.com,20,Male,Malaysian,"RM10,971 - RM15,040",10,C+,D,C,C+,A+ / A,G,C,B,C,B+,A-,C,7.5,Leadership roles,3.92,3.97,"Business, Management & Finance",Yes
2025/03/27 6:50:53 PM GMT+8,yosef_zwane@gmail.com,21,Female,Malaysian,"RM7,101 - RM10,970",11,B+,E,C,A+ / A,None,B,B,B+,C,None,D,None,8.5,Leadership roles,3.8,3.69,Accounting,Yes
2025/03/27 6:50:53 PM GMT+8,zhen_meijer@gmail.com,23,Male,Malaysian,"RM10,971 - RM15,040",8,E,A-,B,C+,C+,A+ / A,C+,C,D,G,D,None,7,national/state awards,3.75,3.58,"Business, Management & Finance",Yes
2025/03/27 6:50:53 PM GMT+8,kenji+xiao@gmail.com,23,Female,Malaysian,"RM7,101 - RM10,970",8,B+,C+,B+,B+,B+,C,C+,E,B,None,C+,D,8.7,national/state awards,3.92,3.69,Actuarial Science / Statistics,Yes
2025/03/27 6:50:53 PM GMT+8,xiang-mokoena180@gmail.com,22,Male,Malaysian,"RM4,851 - RM7,100",10,A-,C,C+,C+,C,D,B,D,A-,None,C,A+ / A,8.7,national/state awards,3.75,3.69,Law / Legal Studies,Yes
2025/03/27 6:50:53 PM GMT+8,erla_ndlovu@gmail.com,23,Male,Malaysian,"RM4,851 - RM7,100",9,B+,C+,C,C+,A-,None,G,D,None,B+,E,A-,6.5,Leadership roles,3.8,3.58,Economics / Public Policy,Yes
2025/03/27 6:50:53 PM GMT+8,ewa_sah@gmail.com,20,Male,Malaysian,"RM7,101 - RM10,970",9,B+,A-,B+,A-,C,C+,E,E,D,B,C+,C,6.2,Leadership roles,3.8,3.97,"Business, Management & Finance",Yes
2025/03/27 6:50:53 PM GMT+8,edda-suarez@gmail.com,21,Male,Malaysian,"RM10,971 - RM15,040",8,B,C+,A-,C,B+,G,B,C,C+,B+,C+,G,6.2,national/state awards,3.75,3.58,Computer Science & Information Technology,Yes
2025/03/27 6:50:53 PM GMT+8,yoshimi+janssen551@gmail.com,Others,Male,Malaysian,"RM10,971 - RM15,040",8,A-,D,C+,D,B+,G,G,D,C+,E,D,D,7,national/state awards,3.92,3.58,Economics / Public Policy,Yes
2025/03/27 6:52:44 PM GMT+8,kenneth_hayashi@gmail.com,23,Female,Non-Malaysian,"RM10,971 - RM15,040",10,A-,A-,D,C+,A-,D,B,G,A-,B,A-,E,6.2,Leadership roles,3.75,3.75,Accounting,No
2025/03/27 6:52:45 PM GMT+8,hui_wieczorek672@gmail.com,20,Male,Malaysian,"RM7,101 - RM10,970",8,B+,E,C+,C,B+,G,G,G,B+,C,D,A+ / A,6.5,national/state awards,3.67,3.75,Economics / Public Policy,No
2025/03/27 6:52:45 PM GMT+8,ann-diaz@gmail.com,22,Male,Malaysian,"RM7,101 - RM10,970",9,D,C+,C,C+,G,D,C,G,B,B+,C+,A-,8.5,Leadership roles,3.92,3.69,Law / Legal Studies,No
2025/03/27 6:52:45 PM GMT+8,mohammed+saeueng798@gmail.com,20,Female,Non-Malaysian,"RM4,851 - RM7,100",11,B,B+,C+,A-,A-,G,G,G,D,A+ / A,D,B,8.7,Leadership roles,3.75,3.58,Actuarial Science / Statistics,No
2025/03/27 6:52:45 PM GMT+8,noriko+zalewski@gmail.com,23,Male,Non-Malaysian,"RM4,851 - RM7,100",9,C,E,E,C+,A-,D,G,E,C,B,E,D,8.5,Leadership roles,3.92,3.58,"Business, Management & Finance",No
2025/03/27 6:52:45 PM GMT+8,ning+kimani@gmail.com,21,Female,Malaysian,"RM7,101 - RM10,970",9,B,B+,A-,B,B+,G,A+ / A,C+,E,A-,G,B,6.2,national/state awards,3.75,3.58,"Business, Management & Finance",Yes
2025/03/27 6:52:45 PM GMT+8,miguel-huisman@gmail.com,21,Female,Malaysian,"RM4,851 - RM7,100",9,C,D,B,C+,E,A-,B,C+,B,B+,D,A-,6.2,national/state awards,3.6,3.84,Science & Mathematics,Yes
2025/03/27 6:52:45 PM GMT+8,zhen+zawadzki395@gmail.com,23,Male,Malaysian,"RM4,851 - RM7,100",9,E,D,C,B+,E,B+,E,D,A-,B+,C,E,8.7,Leadership roles,3.75,3.97,Actuarial Science / Statistics,Yes
2025/03/27 6:52:45 PM GMT+8,pavel+kimura379@gmail.com,23,Female,Malaysian,"RM7,101 - RM10,970",10,B+,A+ / A,A+ / A,A-,C+,C,A+ / A,C,A-,C,C,G,8.7,Leadership roles,3.8,3.69,Law / Legal Studies,Yes
2025/03/27 6:52:45 PM GMT+8,pablo+mazibuko971@gmail.com,21,Male,Non-Malaysian,"Below RM4,850",10,B,E,B,D,A-,D,A-,C+,C+,E,C,D,8.7,national/state awards,3.92,3.69,Economics / Public Policy,No
2025/03/27 6:52:45 PM GMT+8,jakub_maas@gmail.com,21,Male,Non-Malaysian,"RM10,971 - RM15,040",9,G,E,G,E,G,C,C,A-,G,E,G,C,8.7,national/state awards,3.8,3.69,Computer Science & Information Technology,Yes
2025/03/27 6:52:45 PM GMT+8,takako-sanchez917@gmail.com,21,Male,Malaysian,"RM10,971 - RM15,040",8,C+,C,A-,D,B+,E,B+,B+,B,C,B,B+,8.5,Leadership roles,3.55,3.75,Law / Legal Studies,Yes
2025/03/27 6:52:45 PM GMT+8,magda-smee@gmail.com,21,Female,Malaysian,"RM4,851 - RM7,100",9,B,C+,C+,B,E,C+,A-,A+ / A,B+,None,E,E,8.5,Leadership roles,3.75,3.58,Law / Legal Studies,No
2025/03/27 6:52:45 PM GMT+8,narongwairimu@gmail.com,22,Female,Malaysian,"Above RM15,040",8,C+,G,G,C,C+,G,B,B,None,G,G,B+,6.2,Leadership roles,3.67,3.97,Computer Science & Information Technology,Yes
2025/03/27 6:52:45 PM GMT+8,kristinn+johnson355@gmail.com,20,Male,Non-Malaysian,"RM7,101 - RM10,970",11,G,E,C+,C,G,G,C,D,B,D,A-,E,8.7,Leadership roles,3.75,3.58,Economics / Public Policy,Yes
2025/03/27 6:52:46 PM GMT+8,hildur.ohana492@gmail.com,22,Male,Non-Malaysian,"RM7,101 - RM10,970",11,G,B,B,A+ / A,G,None,G,G,B+,A+ / A,A+ / A,C,6.5,national/state awards,3.75,3.84,Actuarial Science / Statistics,No
2025/03/27 6:52:46 PM GMT+8,hendrik_cheruiyot720@gmail.com,21,Female,Non-Malaysian,"RM4,851 - RM7,100",11,D,B+,B,A+ / A,D,A-,D,G,A-,E,D,E,7.5,national/state awards,3.55,3.58,Computer Science & Information Technology,No
2025/03/27 6:52:46 PM GMT+8,dmitry_bunmi451@gmail.com,23,Male,Malaysian,"Below RM4,850",9,C,D,E,C+,D,C,B,D,G,B,A-,None,6.5,national/state awards,3.55,3.97,Science & Mathematics,No
2025/03/27 6:52:46 PM GMT+8,barbara-kuipers864@gmail.com,22,Female,Malaysian,"Above RM15,040",11,A-,E,E,B+,B+,C+,C,B+,B,C,A-,G,6.5,Leadership roles,3.8,3.97,Actuarial Science / Statistics,Yes
2025/03/27 6:52:46 PM GMT+8,paula_paswan@gmail.com,21,Male,Non-Malaysian,"RM10,971 - RM15,040",9,B+,C+,B,B,D,A-,C,B,C,C,None,C+,8.7,national/state awards,3.92,3.58,Accounting,Yes
2025/03/27 6:52:46 PM GMT+8,alan+biswas@gmail.com,23,Male,Malaysian,"RM4,851 - RM7,100",10,B,E,A+ / A,B,D,C+,A-,G,B+,B,B,B+,7.5,Leadership roles,3.92,3.75,Economics / Public Policy,Yes
2025/03/27 6:52:46 PM GMT+8,abubakar_davis@gmail.com,23,Female,Non-Malaysian,"Below RM4,850",10,C+,C+,D,B+,B+,A+ / A,B+,None,G,G,C+,G,6.2,national/state awards,3.92,3.97,Law / Legal Studies,No
2025/03/27 6:52:46 PM GMT+8,takeshi-lim883@gmail.com,23,Female,Non-Malaysian,"RM7,101 - RM10,970",8,C,B,A-,B+,B+,E,C+,D,B+,D,D,B,7.5,Leadership roles,3.8,3.84,Accounting,No
2025/03/27 6:52:46 PM GMT+8,yue-kobayashi@gmail.com,23,Female,Malaysian,"Above RM15,040",10,B,E,B,C,B,E,B,A-,C,A+ / A,E,B,8.5,national/state awards,3.55,3.84,"Business, Management & Finance",No
2025/03/27 6:52:46 PM GMT+8,amnuai-yamashita@gmail.com,23,Female,Malaysian,"Above RM15,040",9,C+,E,B+,G,C,C,G,A+ / A,B,E,B+,A+ / A,8.7,national/state awards,3.6,3.84,Computer Science & Information Technology,Yes
2025/03/27 6:52:46 PM GMT+8,franciscawood@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",11,A+ / A,E,C+,B,G,B,A+ / A,A-,D,E,D,C+,7.5,Leadership roles,3.8,3.69,"Business, Management & Finance",Yes
2025/03/27 6:52:47 PM GMT+8,eunice-yamazaki626@gmail.com,21,Female,Malaysian,"RM4,851 - RM7,100",9,G,D,A-,A-,B+,E,C,A-,C,A+ / A,D,D,8.5,Leadership roles,3.92,3.97,Science & Mathematics,No
2025/03/27 6:52:47 PM GMT+8,nittaya-friedman@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",8,B+,C+,B,B,D,B,C+,C,None,C+,B,B+,6.5,national/state awards,3.8,3.84,Accounting,Yes
2025/03/27 6:52:47 PM GMT+8,ana.takeuchi73@gmail.com,23,Male,Malaysian,"RM4,851 - RM7,100",8,B,E,A-,C,C+,B,B+,C+,E,C+,D,B,6.2,national/state awards,3.75,4,Others,No
2025/03/27 6:52:47 PM GMT+8,lakshmi_smit@gmail.com,23,Male,Non-Malaysian,"RM7,101 - RM10,970",8,D,A-,B,E,A-,E,C+,E,G,A-,B,D,6.5,national/state awards,3.55,3.97,Law / Legal Studies,No
2025/03/27 6:52:47 PM GMT+8,sumansahu173@gmail.com,23,Male,Malaysian,"Above RM15,040",9,B,B,E,E,G,A-,A-,B+,C+,B,D,C+,7,national/state awards,3.75,3.58,Actuarial Science / Statistics,No
2025/03/27 6:52:47 PM GMT+8,ngozi-njuguna@gmail.com,21,Female,Malaysian,"RM4,851 - RM7,100",9,B,B+,A+ / A,C+,E,A+ / A,C+,B+,G,None,D,A-,7.5,national/state awards,3.8,3.69,Law / Legal Studies,No
2025/03/27 6:52:47 PM GMT+8,brian_okoth346@gmail.com,21,Female,Non-Malaysian,"RM7,101 - RM10,970",10,D,E,E,A+ / A,G,C+,G,C+,None,B+,C+,C,8.7,national/state awards,3.8,3.69,Actuarial Science / Statistics,Yes
2025/03/27 6:52:47 PM GMT+8,blessingrumbelow@gmail.com,22,Male,Malaysian,"Below RM4,850",10,B,C+,B+,C,A-,D,D,A-,None,C,C+,C,6.5,national/state awards,3.92,3.84,Computer Science & Information Technology,No
2025/03/27 6:52:47 PM GMT+8,francis.cruz971@gmail.com,Others,Female,Malaysian,"RM4,851 - RM7,100",9,C+,A-,B+,A-,C,A+ / A,G,G,A-,B,D,E,8.5,national/state awards,3.6,4,Actuarial Science / Statistics,No
